
 num     #instances         #bytes  class name
 339:            48           1536  com.sun.org.apache.xerces.internal.impl.xs.traversers.OneAttr
 340:            64           1536  sun.security.util.DerInputStream
 341:            32           1536  com.sun.org.apache.xerces.internal.impl.dv.xs.DecimalDV$XDecimal
 342:            27           1512  org.apache.tomcat.util.res.StringManager$1
 343:            27           1512  org.hibernate.mapping.DependantValue
 344:            47           1504  org.apache.tomcat.util.digester.SetNextRule
 345:            17           1496  org.hibernate.hql.ast.tree.SelectClause
 346:            62           1488  sun.security.x509.AVA
 347:            62           1488  [Lsun.security.x509.AVA;
 348:            62           1488  sun.security.x509.RDN
 349:            46           1472  org.apache.tomcat.util.digester.ObjectCreateRule
 350:            30           1440  org.springframework.core.type.classreading.AnnotationMetadataReadingVisitor
 351:            36           1440  java.math.BigDecimal
 352:            36           1440  java.util.PropertyResourceBundle
 353:            12           1440  freemarker.template.Template
 354:            36           1440  org.hibernate.mapping.ForeignKey
 355:            20           1440  com.mysql.jdbc.ConnectionProperties$IntegerConnectionProperty
 356:            59           1416  org.hibernate.property.BasicPropertyAccessor$BasicGetter
 357:            59           1416  org.hibernate.property.BasicPropertyAccessor$BasicSetter
 358:            29           1392  freemarker.core.MethodCall
 359:            43           1376  <compiledICHolderKlass>
 360:            15           1376  [Ljava.lang.Byte;
 361:            34           1360  org.apache.tomcat.util.modeler.BaseModelMBean
 362:            56           1344  [Lorg.hibernate.loader.CollectionAliases;
 363:            24           1344  org.springframework.beans.PropertyValue
 364:            84           1344  org.springframework.beans.factory.support.MethodOverrides
 365:            55           1320  [Lorg.hibernate.persister.collection.CollectionPersister;
 366:            41           1312  java.util.ResourceBundle$LoaderReference
 367:            54           1296  com.opensymphony.xwork2.config.entities.InterceptorMapping
 368:            40           1280  sun.reflect.generics.repository.ClassRepository
 369:            41           1264  [Lcom.sun.org.apache.xerces.internal.impl.xs.traversers.OneAttr;
 370:            79           1264  org.hibernate.cache.entry.UnstructuredCacheEntry
 371:            52           1248  org.hibernate.tuple.DynamicMapInstantiator
 372:            50           1248  [Lognl.Node;
 373:            52           1248  org.hibernate.tuple.Dom4jInstantiator
 374:            52           1248  java.security.Provider$UString
 375:            12           1248  java.lang.Thread
 376:            22           1232  org.hibernate.hql.ast.tree.BinaryLogicOperatorNode
 377:            22           1232  sun.nio.cs.US_ASCII$Encoder
 378:            77           1232  com.sun.org.apache.xerces.internal.util.AugmentationsImpl
 379:            51           1224  com.opensymphony.xwork2.inject.Scope$2$1
 380:            51           1224  com.opensymphony.xwork2.inject.ContainerBuilder$3
 381:            17           1224  org.hibernate.hql.ast.tree.QueryNode
 382:            17           1224  com.opensymphony.xwork2.config.entities.PackageConfig
 383:            38           1216  freemarker.ext.beans.OverloadedFixArgMethod
 384:            38           1216  com.opensymphony.xwork2.config.entities.ResultConfig
 385:            38           1216  com.opensymphony.xwork2.config.entities.InterceptorConfig
 386:            38           1216  freemarker.ext.beans.MethodMap
 387:             3           1200  [Lorg.apache.commons.collections.map.AbstractHashedMap$HashEntry;
 388:             4           1184  org.hibernate.persister.collection.BasicCollectionPersister
 389:            21           1176  org.hibernate.hql.ast.tree.SqlFragment
 390:            49           1176  org.dom4j.tree.DefaultAttribute
 391:            29           1160  freemarker.core.ListLiteral
 392:            11           1144  java.util.concurrent.ThreadLocalRandom
 393:            47           1128  com.sun.org.apache.xerces.internal.util.SymbolHash
 394:            10           1120  org.apache.tomcat.util.threads.TaskThread
 395:            39           1112  [[Ljava.lang.Class;
 396:            69           1104  org.hibernate.engine.CascadeStyle$MultipleCascadeStyle
 397:             6           1104  org.apache.catalina.connector.Request
 398:            34           1088  org.hibernate.hql.ast.ErrorCounter
 399:            45           1080  com.opensymphony.xwork2.config.impl.LocatableConstantFactory
 400:             7           1064  org.apache.jasper.compiler.Node$CustomTag
 401:             2           1064  [Ljava.lang.Integer;
 402:             1           1040  [Lsun.text.normalizer.UnicodeSet;
 403:             1           1040  [Ljava.lang.Short;
 404:             1           1040  [Ljava.lang.Long;
 405:             3           1032  com.sun.org.apache.xerces.internal.impl.XMLDocumentScannerImpl
 406:            32           1024  java.security.AccessControlContext
 407:            32           1024  com.opensymphony.xwork2.inject.ContainerImpl$ConstructorInjector
 408:            32           1024  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 409:            42           1008  org.apache.jasper.compiler.ELNode$Nodes
 410:            21           1008  java.nio.HeapCharBuffer
 411:            14           1008  freemarker.core.Include
 412:            63           1008  [Lorg.apache.tomcat.util.modeler.NotificationInfo;
 413:             5           1000  com.sun.org.apache.xerces.internal.impl.XMLDTDScannerImpl
 414:            62            992  [Ljavax.servlet.jsp.tagext.TagVariableInfo;
 415:            30            960  java.security.Provider$EngineDescription
 416:            20            960  java.nio.HeapByteBuffer
 417:             8            960  org.apache.jasper.JspCompilationContext
 418:             6            960  org.apache.coyote.http11.Http11Processor
 419:            40            960  sun.reflect.generics.tree.ClassSignature
 420:             5            960  com.sun.org.apache.xerces.internal.parsers.XIncludeAwareParserConfiguration
 421:             3            960  [Lognl.IntHashMap$Entry;
 422:            15            960  com.mysql.jdbc.ConnectionProperties$StringConnectionProperty
 423:             6            960  org.apache.coyote.Request
 424:            17            952  org.hibernate.hql.ast.HqlParser
 425:            17            952  org.hibernate.hql.ast.HqlLexer
 426:            17            952  org.hibernate.hql.ast.QueryTranslatorImpl
 427:            39            936  org.apache.coyote.ActionCode
 428:            29            928  org.springframework.beans.factory.support.DisposableBeanAdapter
 429:            29            928  java.util.regex.Pattern$Curly
 430:            51            928  [Ljavax.management.MBeanNotificationInfo;
 431:            23            920  org.hibernate.hql.ast.tree.FromElementType
 432:            23            920  sun.util.locale.BaseLocale$Key
 433:            40            920  [Lsun.reflect.generics.tree.ClassTypeSignature;
 434:            19            912  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
 435:             1            912  com.mysql.jdbc.Connection
 436:            16            896  org.apache.tomcat.util.http.mapper.MappingData
 437:            28            896  org.apache.catalina.util.ManifestResource
 438:             5            880  com.sun.org.apache.xerces.internal.impl.dtd.XMLNSDTDValidator
 439:            36            864  java.util.zip.ZStreamRef
 440:            36            864  com.sun.org.apache.xerces.internal.impl.xs.traversers.SmallContainer
 441:            36            864  org.hibernate.mapping.Table$ForeignKeyKey
 442:            54            864  org.hibernate.util.FastHashMap
 443:            15            840  javax.management.openmbean.ArrayType
 444:             5            840  org.hibernate.mapping.Map
 445:            13            832  org.hibernate.hql.ast.tree.ParameterNode
 446:            52            832  org.hibernate.proxy.map.MapProxyFactory
 447:            52            832  org.hibernate.tuple.entity.EntityEntityModeToTuplizerMapping
 448:            52            832  org.hibernate.proxy.dom4j.Dom4jProxyFactory
 449:            34            816  org.hibernate.hql.ast.util.ASTPrinter
 450:            17            816  org.hibernate.engine.query.HQLQueryPlan
 451:            25            800  sun.reflect.UnsafeQualifiedStaticIntegerFieldAccessorImpl
 452:            20            800  org.jbpm.pvm.internal.wire.operation.FieldOperation
 453:            11            792  org.apache.catalina.valves.AccessLogValve$DateFormatCache$Cache
 454:            20            776  [Ljava.security.ProtectionDomain;
 455:            32            768  sun.reflect.generics.tree.FormalTypeParameter
 456:             8            768  org.apache.jasper.servlet.JspServletWrapper
 457:            32            768  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping
 458:             8            768  org.apache.jasper.servlet.JasperLoader
 459:            12            768  [Lorg.apache.tomcat.util.http.MimeHeaderField;
 460:            32            768  java.lang.ThreadLocal$ThreadLocalMap
 461:            48            768  antlr.collections.impl.BitSet
 462:            47            768  [Ljavax.management.MBeanConstructorInfo;
 463:            24            768  java.lang.reflect.WeakCache$CacheValue
 464:            24            768  sun.security.x509.OIDMap$OIDInfo
 465:            19            760  org.apache.commons.collections.map.AbstractLinkedMap$LinkEntry
 466:            31            744  org.apache.tomcat.util.res.StringManager
 467:            31            744  org.hibernate.mapping.Index
 468:            31            744  org.apache.struts2.util.PrefixTrie$Node
 469:            31            744  java.util.concurrent.atomic.AtomicLong
 470:            23            736  sun.util.locale.BaseLocale
 471:            23            736  org.apache.jasper.util.UniqueAttributesImpl
 472:            23            736  org.hibernate.mapping.OneToMany
 473:            13            728  ognl.ASTChain
 474:            15            720  freemarker.core.Comment
 475:            30            720  org.hibernate.cfg.Mappings$ColumnNames
 476:            30            720  org.apache.catalina.util.LifecycleSupport
 477:            45            720  sun.reflect.BootstrapConstructorAccessorImpl
 478:            18            720  com.sun.jmx.mbeanserver.MXBeanSupport
 479:            10            720  org.apache.jasper.runtime.PageContextImpl
 480:            30            720  org.hibernate.mapping.PrimaryKey
 481:            15            720  java.lang.management.PlatformComponent
 482:            30            720  org.springframework.core.io.FileSystemResource
